SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:02,2020-07-11 12:36:06.075936,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
1,DC:A6:32:33:AA:02,2020-07-11 12:36:07.887717,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
2,DC:A6:32:33:AA:02,2020-07-11 12:36:08.033131,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
3,DC:A6:32:33:AA:02,2020-07-11 12:36:09.226925,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
4,DC:A6:32:33:AA:02,2020-07-11 12:36:10.302591,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-71
5,DC:A6:32:33:AA:02,2020-07-11 12:36:11.861282,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-72
6,DC:A6:32:33:AA:02,2020-07-11 12:36:12.006227,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-66
7,DC:A6:32:33:AA:02,2020-07-11 12:36:13.141319,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-68
8,DC:A6:32:33:AA:02,2020-07-11 12:36:14.068904,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
9,DC:A6:32:33:AA:02,2020-07-11 12:36:15.625129,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
10,DC:A6:32:33:AA:02,2020-07-11 12:36:16.009511,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
11,DC:A6:32:33:AA:02,2020-07-11 12:36:17.056382,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
12,DC:A6:32:33:AA:02,2020-07-11 12:36:18.182504,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-68
13,DC:A6:32:33:AA:02,2020-07-11 12:36:19.623095,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-65
14,DC:A6:32:33:AA:02,2020-07-11 12:36:20.051193,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-66
15,DC:A6:32:33:AA:02,2020-07-11 12:36:21.035903,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-65
16,DC:A6:32:33:AA:02,2020-07-11 12:36:22.252504,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-65
17,DC:A6:32:33:AA:02,2020-07-11 12:36:23.082527,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
18,DC:A6:32:33:AA:02,2020-07-11 12:36:24.151319,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
19,DC:A6:32:33:AA:02,2020-07-11 12:36:26.160065,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-72
20,DC:A6:32:33:AA:02,2020-07-11 12:36:27.138831,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
21,DC:A6:32:33:AA:02,2020-07-11 12:36:28.498802,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-72
22,DC:A6:32:33:AA:02,2020-07-11 12:36:29.047551,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
23,DC:A6:32:33:AA:02,2020-07-11 12:36:30.245051,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-72
24,DC:A6:32:33:AA:02,2020-07-11 12:36:31.277527,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-65
25,DC:A6:32:33:AA:02,2020-07-11 12:36:32.261346,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
26,DC:A6:32:33:AA:02,2020-07-11 12:36:33.034362,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-68
27,DC:A6:32:33:AA:02,2020-07-11 12:36:34.091270,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-72
28,DC:A6:32:33:AA:02,2020-07-11 12:36:35.024297,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-72
29,DC:A6:32:33:AA:02,2020-07-11 12:36:36.128716,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-72
30,DC:A6:32:33:AA:02,2020-07-11 12:36:37.162480,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
31,DC:A6:32:33:AA:02,2020-07-11 12:36:38.022481,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
32,DC:A6:32:33:AA:02,2020-07-11 12:36:39.014908,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-66
33,DC:A6:32:33:AA:02,2020-07-11 12:36:40.047395,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-65
34,DC:A6:32:33:AA:02,2020-07-11 12:36:41.030008,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-70
35,DC:A6:32:33:AA:02,2020-07-11 12:36:42.213008,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-65
36,DC:A6:32:33:AA:02,2020-07-11 12:36:43.152387,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-71
37,DC:A6:32:33:AA:02,2020-07-11 12:36:44.292528,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-68
38,DC:A6:32:33:AA:02,2020-07-11 12:36:45.066811,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-72
39,DC:A6:32:33:AA:02,2020-07-11 12:36:46.079891,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-71
40,DC:A6:32:33:AA:02,2020-07-11 12:36:47.218790,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
41,DC:A6:32:33:AA:02,2020-07-11 12:36:48.013758,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-72
42,DC:A6:32:33:AA:02,2020-07-11 12:36:49.139969,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
43,DC:A6:32:33:AA:02,2020-07-11 12:36:50.051252,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-68
44,DC:A6:32:33:AA:02,2020-07-11 12:36:51.336203,bfefb498-c3ad-11ea-be6d-dca63233aa01,1,1,1,-67
