SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:02,2020-07-10 18:19:24.303261,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
1,DC:A6:32:33:AA:02,2020-07-10 18:19:25.067213,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
2,DC:A6:32:33:AA:02,2020-07-10 18:19:26.381181,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
3,DC:A6:32:33:AA:02,2020-07-10 18:19:27.086139,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
4,DC:A6:32:33:AA:02,2020-07-10 18:19:29.047303,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
5,DC:A6:32:33:AA:02,2020-07-10 18:19:30.294794,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
6,DC:A6:32:33:AA:02,2020-07-10 18:19:31.038674,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
7,DC:A6:32:33:AA:02,2020-07-10 18:19:32.217471,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
8,DC:A6:32:33:AA:02,2020-07-10 18:19:33.142402,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
9,DC:A6:32:33:AA:02,2020-07-10 18:19:34.119972,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
10,DC:A6:32:33:AA:02,2020-07-10 18:19:35.731131,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
11,DC:A6:32:33:AA:02,2020-07-10 18:19:36.001671,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
12,DC:A6:32:33:AA:02,2020-07-10 18:19:37.306249,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
13,DC:A6:32:33:AA:02,2020-07-10 18:19:38.101839,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
14,DC:A6:32:33:AA:02,2020-07-10 18:19:39.269608,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
15,DC:A6:32:33:AA:02,2020-07-10 18:19:40.051223,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
16,DC:A6:32:33:AA:02,2020-07-10 18:19:41.328099,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
17,DC:A6:32:33:AA:02,2020-07-10 18:19:42.248796,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
18,DC:A6:32:33:AA:02,2020-07-10 18:19:43.018852,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
19,DC:A6:32:33:AA:02,2020-07-10 18:19:44.181273,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
20,DC:A6:32:33:AA:02,2020-07-10 18:19:45.204802,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
21,DC:A6:32:33:AA:02,2020-07-10 18:19:46.133819,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
22,DC:A6:32:33:AA:02,2020-07-10 18:19:47.017539,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
23,DC:A6:32:33:AA:02,2020-07-10 18:19:48.108902,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
24,DC:A6:32:33:AA:02,2020-07-10 18:19:49.077511,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-56
25,DC:A6:32:33:AA:02,2020-07-10 18:19:50.066245,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
26,DC:A6:32:33:AA:02,2020-07-10 18:19:51.066324,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
27,DC:A6:32:33:AA:02,2020-07-10 18:19:52.318866,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-63
28,DC:A6:32:33:AA:02,2020-07-10 18:19:53.051952,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
29,DC:A6:32:33:AA:02,2020-07-10 18:19:54.237644,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
30,DC:A6:32:33:AA:02,2020-07-10 18:19:55.027589,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
31,DC:A6:32:33:AA:02,2020-07-10 18:19:56.552182,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
32,DC:A6:32:33:AA:02,2020-07-10 18:19:57.061373,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-63
33,DC:A6:32:33:AA:02,2020-07-10 18:19:58.576452,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
34,DC:A6:32:33:AA:02,2020-07-10 18:19:59.028899,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
35,DC:A6:32:33:AA:02,2020-07-10 18:20:00.237674,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
36,DC:A6:32:33:AA:02,2020-07-10 18:20:01.210236,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
37,DC:A6:32:33:AA:02,2020-07-10 18:20:02.071531,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
38,DC:A6:32:33:AA:02,2020-07-10 18:20:03.451443,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
39,DC:A6:32:33:AA:02,2020-07-10 18:20:04.229042,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
40,DC:A6:32:33:AA:02,2020-07-10 18:20:05.146427,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
41,DC:A6:32:33:AA:02,2020-07-10 18:20:06.100261,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-56
42,DC:A6:32:33:AA:02,2020-07-10 18:20:07.139906,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
43,DC:A6:32:33:AA:02,2020-07-10 18:20:08.529682,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
44,DC:A6:32:33:AA:02,2020-07-10 18:20:09.012137,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
45,DC:A6:32:33:AA:02,2020-07-10 18:20:11.016560,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
46,DC:A6:32:33:AA:02,2020-07-10 18:20:12.245795,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
47,DC:A6:32:33:AA:02,2020-07-10 18:20:13.347851,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
48,DC:A6:32:33:AA:02,2020-07-10 18:20:14.899041,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-56
