SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:02,2020-07-07 16:33:57.205868,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-69
1,DC:A6:32:33:AA:02,2020-07-07 16:33:59.210550,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-69
2,DC:A6:32:33:AA:02,2020-07-07 16:34:00.572851,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-69
3,DC:A6:32:33:AA:02,2020-07-07 16:34:01.010305,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-72
4,DC:A6:32:33:AA:02,2020-07-07 16:34:02.677925,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-75
5,DC:A6:32:33:AA:02,2020-07-07 16:34:03.081577,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-71
6,DC:A6:32:33:AA:02,2020-07-07 16:34:04.246749,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-74
7,DC:A6:32:33:AA:02,2020-07-07 16:34:05.114208,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-70
8,DC:A6:32:33:AA:02,2020-07-07 16:34:06.090437,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-69
9,DC:A6:32:33:AA:02,2020-07-07 16:34:07.726770,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-72
10,DC:A6:32:33:AA:02,2020-07-07 16:34:08.216691,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-68
11,DC:A6:32:33:AA:02,2020-07-07 16:34:09.289298,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-73
12,DC:A6:32:33:AA:02,2020-07-07 16:34:10.024198,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-70
13,DC:A6:32:33:AA:02,2020-07-07 16:34:11.046126,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-68
14,DC:A6:32:33:AA:02,2020-07-07 16:34:12.353043,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-68
15,DC:A6:32:33:AA:02,2020-07-07 16:34:13.131663,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-68
16,DC:A6:32:33:AA:02,2020-07-07 16:34:14.078050,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-69
17,DC:A6:32:33:AA:02,2020-07-07 16:34:15.200563,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-67
18,DC:A6:32:33:AA:02,2020-07-07 16:34:17.205699,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-69
19,DC:A6:32:33:AA:02,2020-07-07 16:34:18.044244,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-67
20,DC:A6:32:33:AA:02,2020-07-07 16:34:19.263582,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-69
21,DC:A6:32:33:AA:02,2020-07-07 16:34:20.354216,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-71
22,DC:A6:32:33:AA:02,2020-07-07 16:34:21.173066,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-71
23,DC:A6:32:33:AA:02,2020-07-07 16:34:22.150600,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-67
24,DC:A6:32:33:AA:02,2020-07-07 16:34:23.010510,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-66
25,DC:A6:32:33:AA:02,2020-07-07 16:34:24.218707,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-69
26,DC:A6:32:33:AA:02,2020-07-07 16:34:25.150537,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-69
27,DC:A6:32:33:AA:02,2020-07-07 16:34:26.034957,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-69
28,DC:A6:32:33:AA:02,2020-07-07 16:34:27.128198,505bae76-c0aa-11ea-ae26-dca63233aa01,1,1,1,-67
