SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:02,2020-07-10 18:41:42.067273,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-65
1,DC:A6:32:33:AA:02,2020-07-10 18:41:44.071729,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-66
2,DC:A6:32:33:AA:02,2020-07-10 18:41:45.079755,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-65
3,DC:A6:32:33:AA:02,2020-07-10 18:41:47.085485,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-68
4,DC:A6:32:33:AA:02,2020-07-10 18:41:48.257987,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-63
5,DC:A6:32:33:AA:02,2020-07-10 18:41:49.278500,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-65
6,DC:A6:32:33:AA:02,2020-07-10 18:41:50.015410,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-67
7,DC:A6:32:33:AA:02,2020-07-10 18:41:51.160755,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-63
8,DC:A6:32:33:AA:02,2020-07-10 18:41:52.133027,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-66
9,DC:A6:32:33:AA:02,2020-07-10 18:41:53.070472,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
10,DC:A6:32:33:AA:02,2020-07-10 18:41:55.075490,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
11,DC:A6:32:33:AA:02,2020-07-10 18:41:56.533092,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
12,DC:A6:32:33:AA:02,2020-07-10 18:41:57.216770,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-63
13,DC:A6:32:33:AA:02,2020-07-10 18:41:58.025537,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-63
14,DC:A6:32:33:AA:02,2020-07-10 18:41:59.090579,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-68
15,DC:A6:32:33:AA:02,2020-07-10 18:42:01.095609,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-63
16,DC:A6:32:33:AA:02,2020-07-10 18:42:03.100748,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-69
17,DC:A6:32:33:AA:02,2020-07-10 18:42:04.016946,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-67
18,DC:A6:32:33:AA:02,2020-07-10 18:42:06.022049,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
19,DC:A6:32:33:AA:02,2020-07-10 18:42:08.027121,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-66
20,DC:A6:32:33:AA:02,2020-07-10 18:42:09.034525,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
21,DC:A6:32:33:AA:02,2020-07-10 18:42:10.020879,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
22,DC:A6:32:33:AA:02,2020-07-10 18:42:11.485828,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
23,DC:A6:32:33:AA:02,2020-07-10 18:42:12.068338,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-65
24,DC:A6:32:33:AA:02,2020-07-10 18:42:13.058425,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
25,DC:A6:32:33:AA:02,2020-07-10 18:42:14.040955,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
26,DC:A6:32:33:AA:02,2020-07-10 18:42:15.126038,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
27,DC:A6:32:33:AA:02,2020-07-10 18:42:17.129883,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-66
28,DC:A6:32:33:AA:02,2020-07-10 18:42:18.414864,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
29,DC:A6:32:33:AA:02,2020-07-10 18:42:19.331120,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
30,DC:A6:32:33:AA:02,2020-07-10 18:42:20.008672,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-65
31,DC:A6:32:33:AA:02,2020-07-10 18:42:22.013002,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-68
32,DC:A6:32:33:AA:02,2020-07-10 18:42:23.383045,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-68
33,DC:A6:32:33:AA:02,2020-07-10 18:42:24.158649,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-68
34,DC:A6:32:33:AA:02,2020-07-10 18:42:25.024971,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-66
35,DC:A6:32:33:AA:02,2020-07-10 18:42:26.423628,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-66
36,DC:A6:32:33:AA:02,2020-07-10 18:42:28.428763,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-68
37,DC:A6:32:33:AA:02,2020-07-10 18:42:29.051209,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-65
38,DC:A6:32:33:AA:02,2020-07-10 18:42:31.056313,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-67
39,DC:A6:32:33:AA:02,2020-07-10 18:42:32.147548,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
40,DC:A6:32:33:AA:02,2020-07-10 18:42:33.700083,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-63
41,DC:A6:32:33:AA:02,2020-07-10 18:42:34.196326,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
42,DC:A6:32:33:AA:02,2020-07-10 18:42:35.247559,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-68
43,DC:A6:32:33:AA:02,2020-07-10 18:42:37.252638,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
44,DC:A6:32:33:AA:02,2020-07-10 18:42:38.858844,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-67
45,DC:A6:32:33:AA:02,2020-07-10 18:42:39.020121,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-67
46,DC:A6:32:33:AA:02,2020-07-10 18:42:41.025323,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
47,DC:A6:32:33:AA:02,2020-07-10 18:42:42.199561,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
48,DC:A6:32:33:AA:02,2020-07-10 18:42:43.277750,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-65
49,DC:A6:32:33:AA:02,2020-07-10 18:42:44.702073,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-63
50,DC:A6:32:33:AA:02,2020-07-10 18:42:45.020926,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
51,DC:A6:32:33:AA:02,2020-07-10 18:42:46.827953,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
52,DC:A6:32:33:AA:02,2020-07-10 18:42:47.077775,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
53,DC:A6:32:33:AA:02,2020-07-10 18:42:48.217878,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
54,DC:A6:32:33:AA:02,2020-07-10 18:42:50.222951,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-68
55,DC:A6:32:33:AA:02,2020-07-10 18:42:51.265431,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
56,DC:A6:32:33:AA:02,2020-07-10 18:42:52.039184,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-66
57,DC:A6:32:33:AA:02,2020-07-10 18:42:53.212973,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-66
58,DC:A6:32:33:AA:02,2020-07-10 18:42:54.265410,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-65
59,DC:A6:32:33:AA:02,2020-07-10 18:42:55.291100,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-67
60,DC:A6:32:33:AA:02,2020-07-10 18:42:56.135413,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
61,DC:A6:32:33:AA:02,2020-07-10 18:42:57.030461,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
62,DC:A6:32:33:AA:02,2020-07-10 18:42:58.364335,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-66
63,DC:A6:32:33:AA:02,2020-07-10 18:42:59.751196,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-65
64,DC:A6:32:33:AA:02,2020-07-10 18:43:00.009267,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-64
65,DC:A6:32:33:AA:02,2020-07-10 18:43:01.303083,a7f8c730-c317-11ea-87c7-dca63233aa01,1,1,1,-65
